px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.45053	0.251376	3.03506	0.000681892	2.98284e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0113411
8.47407	0.246584	2.52381	-0.034184	-0.00433486	8.56759	0.241943	8.45	0.25	0	0	1.04556
8.5034	0.250353	2.43915	-0.0120792	-0.00170844	8.45582	0.253997	8.45	0.25	0	0	0.202263
8.36985	0.235506	0.177498	-0.117333	-0.0347822	8.42544	0.254042	8.35	0.25	-1.81979	0	10.7056
8.32883	0.242499	0.0702008	-0.0869798	-0.0275834	8.23962	0.24916	8.25	0.25	-1.81978	0	0.549986
8.03676	0.260265	-2.73863	-0.0617579	-0.0111869	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	34.5366
7.9004	0.243288	-2.7701	-0.0178137	0.0758145	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.616354
7.72639	0.222375	-2.95596	0.115048	0.185077	7.61269	0.155818	7.7	0.15	-2.99982	0	1.58378
7.58953	0.182231	-2.98569	0.207995	0.253911	7.54016	0.159641	7.55	0.15	-2.99982	0	0.190788
7.48957	0.0866199	-2.74831	0.421043	0.441404	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.11496
7.35705	0.0317011	-2.75349	0.432353	0.429759	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.0136068
7.1956	0.0150382	-2.89202	0.338693	0.217833	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.591277
7.05142	-0.0459681	-2.8988	0.360686	0.228422	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.00510237
6.95272	-0.145829	-2.57309	0.510338	0.643258	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.8281
6.83762	-0.235466	-2.59142	0.57119	0.684324	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.0516792
6.72709	-0.315032	-2.62194	0.609656	0.681071	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0808337
6.62757	-0.418781	-2.66109	0.678728	0.742249	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.151587
6.58331	-0.571243	-2.52987	0.945749	1.35924	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	3.56732
6.52376	-0.667223	-2.49982	1.00922	1.35253	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0916758
6.47905	-0.831933	-2.55092	1.20755	1.642	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.906575
6.44043	-0.99161	-2.61685	1.3216	1.67576	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.256362
6.33848	-1.04638	-2.39622	1.15362	1.1168	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	6.3988
6.28025	-1.19195	-2.47249	1.21787	1.11508	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.250948
6.36149	-1.41569	-2.58788	1.59311	1.70772	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	18.3666
6.36717	-1.58677	-2.68099	1.69122	1.7099	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.310552
6.3151	-1.63639	-2.19603	1.60906	1.39792	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	9.52073
6.30019	-1.8033	-2.36744	1.65969	1.3643	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	1.5275
6.33898	-1.98598	-2.67304	1.78245	1.46004	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	3.30715
6.36144	-2.14921	-2.77015	1.84209	1.43965	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0.50419
6.35561	-2.2639	-2.46021	1.84984	1.32124	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.51482
6.37962	-2.43842	-2.58024	1.89561	1.28571	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0.86765
6.42611	-2.59765	-2.67337	1.9578	1.27644	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.413536
6.46878	-2.76504	-2.75095	2.00294	1.24639	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.467265
6.48886	-2.86912	-2.46162	2.02722	1.18771	6.46536	-3.00452	6.45	-3	0	-2.99754	3.1557
6.5157	-3.02912	-2.56345	2.0433	1.13827	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.26535
6.57489	-3.18075	-2.64731	2.08867	1.11995	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.579961
6.62047	-3.35098	-2.72612	2.1085	1.07405	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.07339
6.70384	-3.50889	-2.89794	2.1588	1.0685	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.732721
6.78208	-3.67223	-2.95392	2.19281	1.04086	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.458813
6.85078	-3.79361	-2.7345	2.23094	1.01407	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.56011
6.91934	-3.95475	-2.79157	2.24803	0.971988	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.907513
6.98717	-4.07074	-2.61812	2.28104	0.946774	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.24734
7.0442	-4.22922	-2.66362	2.28309	0.893302	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.4876
7.09479	-4.31778	-2.26865	2.31146	0.864847	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	4.0881
7.14388	-4.45114	-2.29479	2.31422	0.817406	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	1.26609
7.21897	-4.55819	-2.30565	2.34322	0.800351	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.479448
7.26583	-4.70826	-2.34411	2.32742	0.736542	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	2.30893
7.37973	-4.85327	-2.71802	2.35295	0.723767	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.26252
7.43831	-5.01535	-2.74079	2.33063	0.657174	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	2.30206
7.51338	-5.12805	-2.62127	2.34516	0.632644	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.14404
7.56735	-5.29618	-2.65568	2.31265	0.559744	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	2.45844
7.65766	-5.41806	-2.64356	2.32801	0.54247	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.562675
7.72499	-5.56649	-2.66523	2.31228	0.493255	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.06517
7.79981	-5.67538	-2.56505	2.32265	0.474414	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.759477
7.85013	-5.83297	-2.58633	2.289	0.410245	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.78835
7.971	-5.98059	-3.06524	2.30524	0.410514	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	5.37767
8.03901	-6.13973	-3.08888	2.27867	0.359583	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	1.11943
8.12745	-6.26285	-2.88437	2.28487	0.342001	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.50416
8.21001	-6.40587	-2.89371	2.27776	0.313948	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.317681
8.28591	-6.51653	-2.73475	2.28266	0.299329	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.935881
8.34553	-6.67045	-2.7483	2.25495	0.251802	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.938619
8.43091	-6.78973	-2.75074	2.26138	0.244038	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.34665
8.5041	-6.92501	-2.75215	2.25119	0.218783	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.294527
8.57412	-7.02786	-2.68669	2.2538	0.209392	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.435798
8.62619	-7.16822	-2.70372	2.22629	0.168622	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.757654
8.73609	-7.3131	-3.06314	2.23543	0.173268	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	3.20461
8.80138	-7.46783	-3.0828	2.20939	0.135676	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.638236
8.86065	-7.57573	-2.67084	2.19986	0.11161	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	4.33569
8.91822	-7.71697	-2.67524	2.17784	0.0811847	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.43193
8.99618	-7.8393	-2.77082	2.17806	0.0781596	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.345438
9.0421	-7.98258	-2.78313	2.14788	0.0413662	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.633662
9.07968	-8.07534	-2.4089	2.13342	0.0184528	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	3.58199
